"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Car, truck, or van -- drove alone!!Estimate","United States!!Car, truck, or van -- drove alone!!Margin of Error","United States!!Car, truck, or van -- carpooled!!Estimate","United States!!Car, truck, or van -- carpooled!!Margin of Error","United States!!Public transportation (excluding taxicab)!!Estimate","United States!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","148,432,042","±153,416","113,464,765","±115,181","13,588,952","±69,714","7,607,907","±19,717"
"    AGE","","","","","","","",""
"        16 to 19 years","3.3%","±0.1","2.9%","±0.1","5.6%","±0.1","2.8%","±0.1"
"        20 to 24 years","9.8%","±0.1","9.2%","±0.1","11.9%","±0.1","11.6%","±0.1"
"        25 to 44 years","43.3%","±0.1","43.1%","±0.1","46.2%","±0.1","49.7%","±0.1"
"        45 to 54 years","21.8%","±0.1","22.3%","±0.1","20.0%","±0.1","18.6%","±0.1"
"        55 to 59 years","9.8%","±0.1","10.2%","±0.1","7.8%","±0.1","8.0%","±0.1"
"        60 years and over","12.0%","±0.1","12.3%","±0.1","8.5%","±0.1","9.2%","±0.1"
"        Median age (years)","42.0","±0.1","42.6","±0.1","38.6","±0.2","37.9","±0.1"
"    SEX","","","","","","","",""
"        Male","53.0%","±0.1","52.9%","±0.1","53.5%","±0.1","50.1%","±0.1"
"        Female","47.0%","±0.1","47.1%","±0.1","46.5%","±0.1","49.9%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","97.7%","±0.1","97.9%","±0.1","97.1%","±0.1","96.8%","±0.1"
"            White","75.0%","±0.1","77.3%","±0.1","68.5%","±0.1","50.1%","±0.1"
"            Black or African American","11.4%","±0.1","10.8%","±0.1","11.7%","±0.1","23.8%","±0.1"
"            American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","0.9%","±0.1","0.6%","±0.1"
"            Asian","5.7%","±0.1","4.9%","±0.1","7.9%","±0.1","12.1%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.2%","±0.1","0.2%","±0.1","0.3%","±0.1","0.2%","±0.1"
"            Some other race","4.8%","±0.1","4.1%","±0.1","7.8%","±0.1","10.0%","±0.1"
"        Two or more races","2.3%","±0.1","2.1%","±0.1","2.9%","±0.1","3.2%","±0.1"
"        Hispanic or Latino origin (of any race)","16.5%","±0.1","15.2%","±0.1","25.3%","±0.1","23.2%","±0.1"
"        White alone, not Hispanic or Latino","64.2%","±0.1","67.0%","±0.1","52.4%","±0.1","39.0%","±0.1"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","83.1%","±0.1","85.3%","±0.1","74.6%","±0.2","67.1%","±0.1"
"        Foreign born","16.9%","±0.1","14.7%","±0.1","25.4%","±0.2","32.9%","±0.1"
"            Naturalized U.S. citizen","8.3%","±0.1","7.8%","±0.1","9.5%","±0.1","14.4%","±0.1"
"            Not a U.S. citizen","8.6%","±0.1","6.8%","±0.1","15.9%","±0.2","18.5%","±0.2"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","21.7%","±0.1","19.4%","±0.1","32.3%","±0.1","37.1%","±0.2"
"            Speak English ""very well""","13.0%","±0.1","12.2%","±0.1","15.5%","±0.1","20.3%","±0.1"
"            Speak English less than ""very well""","8.8%","±0.1","7.2%","±0.1","16.8%","±0.2","16.7%","±0.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","148,410,033","±153,336","113,453,697","±115,186","13,586,509","±69,698","7,607,433","±19,749"
"        $1 to $9,999 or loss","12.7%","±0.1","11.0%","±0.1","17.3%","±0.1","14.8%","±0.1"
"        $10,000 to $14,999","7.4%","±0.1","6.9%","±0.1","9.2%","±0.1","8.4%","±0.1"
"        $15,000 to $24,999","14.7%","±0.1","14.2%","±0.1","18.3%","±0.1","15.3%","±0.1"
"        $25,000 to $34,999","13.9%","±0.1","14.3%","±0.1","14.9%","±0.1","11.4%","±0.1"
"        $35,000 to $49,999","16.0%","±0.1","17.0%","±0.1","14.8%","±0.1","12.2%","±0.1"
"        $50,000 to $64,999","11.9%","±0.1","12.7%","±0.1","9.8%","±0.1","9.8%","±0.1"
"        $65,000 to $74,999","5.0%","±0.1","5.3%","±0.1","3.8%","±0.1","4.7%","±0.1"
"        $75,000 or more","18.4%","±0.1","18.5%","±0.1","11.9%","±0.1","23.3%","±0.2"
"        Median earnings (dollars)","35,855","±65","37,213","±64","27,789","±145","35,065","±164"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","147,260,247","±155,569","113,142,120","±115,289","13,517,787","±70,077","7,566,137","±19,711"
"        Below 100 percent of the poverty level","6.8%","±0.1","5.7%","±0.1","9.6%","±0.1","11.0%","±0.1"
"        100 to 149 percent of the poverty level","6.4%","±0.1","5.8%","±0.1","9.1%","±0.1","8.5%","±0.1"
"        At or above 150 percent of the poverty level","86.8%","±0.1","88.4%","±0.1","81.3%","±0.1","80.5%","±0.1"
"Workers 16 years and over","148,432,042","±153,416","113,464,765","±115,181","13,588,952","±69,714","7,607,907","±19,717"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","37.4%","±0.1","37.5%","±0.1","29.3%","±0.2","40.6%","±0.2"
"        Service occupations","17.8%","±0.1","16.9%","±0.1","20.7%","±0.1","23.5%","±0.2"
"        Sales and office occupations","23.5%","±0.1","23.9%","±0.1","20.9%","±0.1","23.2%","±0.1"
"        Natural resources, construction, and maintenance occupations","8.9%","±0.1","8.8%","±0.1","14.0%","±0.1","4.7%","±0.1"
"        Production, transportation, and material moving occupations","12.1%","±0.1","12.5%","±0.1","14.8%","±0.1","8.0%","±0.1"
"        Military specific occupations","0.4%","±0.1","0.3%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.9%","±0.1","1.7%","±0.1","2.7%","±0.1","0.6%","±0.1"
"        Construction","6.3%","±0.1","6.2%","±0.1","10.4%","±0.1","3.5%","±0.1"
"        Manufacturing","10.3%","±0.1","11.0%","±0.1","11.3%","±0.1","4.7%","±0.1"
"        Wholesale trade","2.7%","±0.1","2.8%","±0.1","2.4%","±0.1","1.6%","±0.1"
"        Retail trade","11.3%","±0.1","11.7%","±0.1","10.8%","±0.1","10.5%","±0.1"
"        Transportation and warehousing, and utilities","5.0%","±0.1","5.4%","±0.1","4.1%","±0.1","3.8%","±0.1"
"        Information and finance and insurance, and real estate and rental and leasing","8.7%","±0.1","8.4%","±0.1","6.0%","±0.1","13.2%","±0.1"
"        Professional, scientific, management, and administrative and waste management services","11.2%","±0.1","10.1%","±0.1","10.6%","±0.1","16.7%","±0.1"
"        Educational services, and health care and social assistance","22.8%","±0.1","23.5%","±0.1","20.8%","±0.2","21.2%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","9.6%","±0.1","8.9%","±0.1","11.5%","±0.1","13.8%","±0.1"
"        Other services (except public administration)","4.9%","±0.1","4.7%","±0.1","5.0%","±0.1","4.9%","±0.1"
"        Public administration","4.7%","±0.1","5.0%","±0.1","3.9%","±0.1","5.2%","±0.1"
"        Armed forces","0.7%","±0.1","0.6%","±0.1","0.6%","±0.1","0.2%","±0.1"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","79.6%","±0.1","80.3%","±0.1","80.3%","±0.1","83.4%","±0.1"
"        Government workers","14.4%","±0.1","15.0%","±0.1","13.6%","±0.1","13.1%","±0.1"
"        Self-employed workers in own not incorporated business","5.9%","±0.1","4.6%","±0.1","5.9%","±0.1","3.4%","±0.1"
"        Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","96.3%","±0.1","96.5%","±0.1","96.1%","±0.1","90.4%","±0.1"
"            Worked in county of residence","72.4%","±0.1","70.9%","±0.1","71.2%","±0.1","57.3%","±0.2"
"            Worked outside county of residence","23.9%","±0.1","25.6%","±0.1","24.9%","±0.1","33.2%","±0.1"
"        Worked outside state of residence","3.7%","±0.1","3.5%","±0.1","3.9%","±0.1","9.6%","±0.1"
"Workers 16 years and over who did not work at home","141,404,632","±164,332","113,464,765","±115,181","13,588,952","±69,714","7,607,907","±19,717"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.6%","±0.1","4.7%","±0.1","5.4%","±0.1","3.2%","±0.1"
"        5:00 a.m. to 5:29 a.m.","3.9%","±0.1","3.8%","±0.1","4.8%","±0.1","3.7%","±0.1"
"        5:30 a.m. to 5:59 a.m.","4.9%","±0.1","4.9%","±0.1","5.6%","±0.1","4.1%","±0.1"
"        6:00 a.m. to 6:29 a.m.","8.9%","±0.1","8.9%","±0.1","10.0%","±0.1","8.9%","±0.1"
"        6:30 a.m. to 6:59 a.m.","9.8%","±0.1","10.1%","±0.1","10.5%","±0.1","8.3%","±0.1"
"        7:00 a.m. to 7:29 a.m.","14.7%","±0.1","15.0%","±0.1","15.1%","±0.1","15.2%","±0.1"
"        7:30 a.m. to 7:59 a.m.","12.5%","±0.1","13.0%","±0.1","10.9%","±0.1","10.5%","±0.1"
"        8:00 a.m. to 8:29 a.m.","11.0%","±0.1","10.9%","±0.1","8.9%","±0.1","14.7%","±0.1"
"        8:30 a.m. to 8:59 a.m.","5.4%","±0.1","5.3%","±0.1","4.3%","±0.1","6.2%","±0.1"
"        9:00 a.m. to 11:59 p.m.","24.4%","±0.1","23.4%","±0.1","24.5%","±0.1","25.1%","±0.1"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","12.7%","±0.1","12.3%","±0.1","11.2%","±0.1","1.2%","±0.1"
"        10 to 14 minutes","13.6%","±0.1","14.1%","±0.1","13.2%","±0.1","2.3%","±0.1"
"        15 to 19 minutes","15.3%","±0.1","16.1%","±0.1","15.0%","±0.1","4.3%","±0.1"
"        20 to 24 minutes","14.6%","±0.1","15.4%","±0.1","14.0%","±0.1","7.2%","±0.1"
"        25 to 29 minutes","6.4%","±0.1","6.8%","±0.1","5.9%","±0.1","3.6%","±0.1"
"        30 to 34 minutes","13.7%","±0.1","13.8%","±0.1","14.4%","±0.1","15.7%","±0.1"
"        35 to 44 minutes","6.8%","±0.1","6.8%","±0.1","6.8%","±0.1","10.3%","±0.1"
"        45 to 59 minutes","8.1%","±0.1","7.7%","±0.1","8.8%","±0.1","17.6%","±0.1"
"        60 or more minutes","8.9%","±0.1","6.9%","±0.1","10.6%","±0.1","37.9%","±0.1"
"        Mean travel time to work (minutes)","26.4","±0.1","25.1","±0.1","28.0","±0.1","49.7","±0.1"
"Workers 16 years and over in households","146,982,992","±156,459","113,101,734","±115,427","13,471,780","±69,933","7,498,700","±19,250"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","66.2%","±0.2","69.5%","±0.2","60.1%","±0.3","39.9%","±0.2"
"        Renter-occupied housing units","33.8%","±0.2","30.5%","±0.2","39.9%","±0.3","60.1%","±0.2"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","4.4%","±0.1","1.2%","±0.1","5.3%","±0.1","35.3%","±0.2"
"        1 vehicle available","20.9%","±0.1","19.4%","±0.1","23.3%","±0.1","31.2%","±0.1"
"        2 vehicles available","41.2%","±0.1","43.4%","±0.1","38.2%","±0.1","22.0%","±0.1"
"        3 or more vehicles available","33.5%","±0.1","36.0%","±0.1","33.2%","±0.1","11.5%","±0.1"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","9.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","19.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","14.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
