"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Car, truck, or van -- drove alone!!Estimate","United States!!Car, truck, or van -- drove alone!!Margin of Error","United States!!Car, truck, or van -- carpooled!!Estimate","United States!!Car, truck, or van -- carpooled!!Margin of Error","United States!!Public transportation (excluding taxicab)!!Estimate","United States!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","150,571,044","±169,078","115,095,765","±118,932","13,671,979","±74,546","7,602,145","±20,673"
"    AGE","","","","","","","",""
"        16 to 19 years","3.4%","±0.1","2.9%","±0.1","5.8%","±0.1","2.8%","±0.1"
"        20 to 24 years","9.7%","±0.1","9.2%","±0.1","11.9%","±0.1","11.4%","±0.1"
"        25 to 44 years","43.4%","±0.1","43.2%","±0.1","46.2%","±0.1","50.1%","±0.1"
"        45 to 54 years","21.4%","±0.1","21.9%","±0.1","19.7%","±0.1","18.3%","±0.1"
"        55 to 59 years","9.7%","±0.1","10.1%","±0.1","7.7%","±0.1","8.0%","±0.1"
"        60 years and over","12.4%","±0.1","12.6%","±0.1","8.7%","±0.1","9.4%","±0.1"
"        Median age (years)","41.8","±0.1","42.5","±0.1","38.5","±0.1","37.8","±0.1"
"    SEX","","","","","","","",""
"        Male","53.0%","±0.1","53.0%","±0.1","53.2%","±0.1","50.1%","±0.1"
"        Female","47.0%","±0.1","47.0%","±0.1","46.8%","±0.1","49.9%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","97.6%","±0.1","97.8%","±0.1","97.0%","±0.1","96.7%","±0.1"
"            White","74.6%","±0.1","76.8%","±0.1","68.0%","±0.1","49.9%","±0.1"
"            Black or African American","11.5%","±0.1","10.9%","±0.1","11.8%","±0.1","23.8%","±0.1"
"            American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","1.0%","±0.1","0.6%","±0.1"
"            Asian","5.8%","±0.1","5.0%","±0.1","8.1%","±0.1","12.3%","±0.1"
